(e) L(1e-13) from the proven tail bound, per shape, separation and direction.
    Lwb = smallest even L <= 56 whose whole-box tail is below tol*est(R);
    Loct = largest of the 8 sub-box L_j for the octant split (budget tol*est/8);
    -1 = the bound is not met at L <= 56.  cost = complex multiply-adds issued.

shp  f           dir   sep  rho     kR       Lwb  cost    Loct costOct  route
c4   1.0 + 0.0im face  2    0.6124  4.443    52   4827    37   54880    1
c4   1.0 + 0.0im face  3    0.4082  6.664    32   1892    26   33740    1
c4   1.0 + 0.0im face  4    0.3062  8.886    26   1275    22   27132    1
c4   1.0 + 0.0im face  6    0.2041  13.329   22   931     19   20762    1
c4   1.0 + 0.0im face  8    0.1531  17.772   20   779     18   18662    1
c4   1.0 + 0.0im face  16   0.0765  35.543   18   641     16   16184    1
c4   1.0 + 0.0im face  32   0.0383  71.086   18   641     15   14336    1
c4   1.0 + 0.0im face  64   0.0191  142.172  16   516     15   14336    1
c4   1.0 + 0.0im body  2    0.5     5.441    40   2904    32   41244    1
c4   1.0 + 0.0im body  3    0.3333  8.162    28   1467    23   28392    1
c4   1.0 + 0.0im body  4    0.25    10.883   24   1096    20   23548    1
c4   1.0 + 0.0im body  6    0.1667  16.324   20   779     18   19180    1
c4   1.0 + 0.0im body  8    0.125   21.766   20   779     17   18144    1
c4   1.0 + 0.0im body  16   0.0625  43.531   18   641     16   16184    1
c4   1.0 + 0.0im body  32   0.0312  87.062   16   516     15   14336    1
c4   1.0 + 0.0im body  64   0.0156  174.125  16   516     15   14336    1
c4   1.0 + 0.1im axis  2    0.866   3.157    -1   -1      51   104384   2
c4   1.0 + 0.1im axis  3    0.5774  4.736    48   4132    32   49420    1
c4   1.0 + 0.1im axis  4    0.433   6.315    34   2125    26   35224    1
c4   1.0 + 0.1im axis  6    0.2887  9.472    26   1275    21   25900    1
c4   1.0 + 0.1im axis  8    0.2165  12.629   22   931     19   21308    1
c4   1.0 + 0.1im axis  16   0.1083  25.258   18   641     17   17164    1
c4   1.0 + 0.1im axis  32   0.0541  50.516   18   641     16   15260    1
c4   1.0 + 0.1im axis  64   0.0271  101.032  16   516     15   14336    1
c4   1.0 + 0.1im face  2    0.6124  4.465    52   4827    37   54880    1
c4   1.0 + 0.1im face  3    0.4082  6.698    32   1892    26   33740    1
c4   1.0 + 0.1im face  4    0.3062  8.93     26   1275    22   27132    1
c4   1.0 + 0.1im face  6    0.2041  13.395   22   931     19   20762    1
c4   1.0 + 0.1im face  8    0.1531  17.86    20   779     18   18662    1
c4   1.0 + 0.1im face  16   0.0765  35.72    18   641     16   16184    1
c4   1.0 + 0.1im face  32   0.0383  71.441   18   641     15   14336    1
c4   1.0 + 0.1im face  64   0.0191  142.881  16   516     15   14336    1
c4   1.0 + 0.1im body  2    0.5     5.469    40   2904    32   41244    1
c4   1.0 + 0.1im body  3    0.3333  8.203    28   1467    23   28392    1
c4   1.0 + 0.1im body  4    0.25    10.937   24   1096    20   23548    1
c4   1.0 + 0.1im body  6    0.1667  16.406   20   779     18   19180    1
c4   1.0 + 0.1im body  8    0.125   21.874   20   779     17   18144    1
c4   1.0 + 0.1im body  16   0.0625  43.748   18   641     16   16184    1
c4   1.0 + 0.1im body  32   0.0312  87.497   16   516     15   14336    1
c4   1.0 + 0.1im body  64   0.0156  174.993  16   516     15   14336    1
sl   1.0 + 0.0im ax1   2    0.7078  0.393    -1   -1      44   78652    2
sl   1.0 + 0.0im ax1   3    0.4719  0.589    38   2631    28   38360    1
sl   1.0 + 0.0im ax1   4    0.3539  0.785    30   1673    23   28476    1
sl   1.0 + 0.0im ax1   6    0.2359  1.178    22   931     18   19180    1
sl   1.0 + 0.0im ax1   8    0.1769  1.571    18   641     16   15260    1
sl   1.0 + 0.0im ax1   16   0.0885  3.142    14   405     13   10976    1
sl   1.0 + 0.0im ax1   32   0.0442  6.283    12   307     11   8064     1
sl   1.0 + 0.0im ax1   64   0.0221  12.566   10   223     10   6776     1
sl   1.0 + 0.0im ax2   2    0.7078  0.393    -1   -1      44   78652    2
sl   1.0 + 0.0im ax2   3    0.4719  0.589    38   2631    28   38360    1
sl   1.0 + 0.0im ax2   4    0.3539  0.785    30   1673    23   28476    1
sl   1.0 + 0.0im ax2   6    0.2359  1.178    22   931     18   19180    1
sl   1.0 + 0.0im ax2   8    0.1769  1.571    18   641     16   15260    1
sl   1.0 + 0.0im ax2   16   0.0885  3.142    14   405     13   10976    1
sl   1.0 + 0.0im ax2   32   0.0442  6.283    12   307     11   8064     1
sl   1.0 + 0.0im ax2   64   0.0221  12.566   10   223     10   6776     1
sl   1.0 + 0.0im ax3   2    11.3248 0.025    -1   -1      -1   -1       3
sl   1.0 + 0.0im ax3   3    7.5498  0.037    -1   -1      -1   -1       3
sl   1.0 + 0.0im ax3   4    5.6624  0.049    -1   -1      -1   -1       3
sl   1.0 + 0.0im ax3   6    3.7749  0.074    -1   -1      -1   -1       3
sl   1.0 + 0.0im ax3   8    2.8312  0.098    -1   -1      -1   -1       3
